Region,Province,City,year,EconomyScore,DemandScore,AffordabilityScore,ProfitabilityScore,HazardSafety_NoFault,FinalCityScore,GRDP_grdp_pc_2024_const,INC_income_per_hh_2024,DEM_households_single_duplex_2024,DEM_units_single_duplex_2024,RISK_Risk_Gate,RISK_Fault_Distance_km,RISK_Nearest_Fault_Name,RISK_Flood_Level_Num,RISK_StormSurge_Level_Num,RISK_Landslide_Level_Num,RISK_Flood_Level_Tip,RISK_StormSurge_Level_Tip,RISK_Landslide_Level_Tip,RISK_Risk_Gate_Tip,RISK_Risk_Gate_Reasons_ASCII,RISK_events_50km,RISK_m5plus_50km,RISK_avg_mag_50km,RISK_events_50km_per_year,RISK_avg_depth_km_50km,RISK_EarthquakeRisk,RISK_HydroMean,RISK_HazardSafetyIndex
NCR,NCR,Marikina City,2024,0.468259797,0.089028772,0.521773273,0.359687281,0.717103386,0.538395333,503483,597454.9937,94850,88251,REVIEW,0,Valley Fault System,3,1,1,Flood Level 3 (High): above 1.5 m or high-velocity flow; avoid or elevate site significantly.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city micro-siting required (avoid rupture buffer); High hydro hazard: Flood L3,191,0,2.04,24,20.17,0.717256782,0.666666667,0.379763954
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,0.068039798,0.727363775,0.147368057,0.31425721,0.742179969,0.528218589,191874,356221.3595,624890,595592,PASS,5.4,Unnamed Fault,2,1,1,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,289,2,2.13,32,31.66,0.677030818,0.5,0.462521006
Region IV-A (CALABARZON),Batangas,Tanauan City,2024,0.035142685,0.837842293,0.257403254,0.376796077,0.669122611,0.522959344,192048,427118.3166,725868,683399,REVIEW,8.5,Valley Fault System,2,1,1,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Elevated earthquake activity: events/yr 140 (=150.0),1378,2,2.35,150,19.85,0.80591012,0.5,0.410969285
Region IV-A (CALABARZON),Batangas,Batangas City,2024,0.035173972,0.837842293,0.257403254,0.376806506,0.651252801,0.514029654,192048,427118.3166,725868,683399,REVIEW,10.5,Lubang Fault,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Elevated earthquake activity: events/yr 140 (=316.0) and M5 count 3 (=4),2946,4,2.24,316,49.2,0.81537688,0.333333333,0.473849248
Region III (Central Luzon),Pampanga,Angeles City,2024,0.115677602,0.113148412,0.423486825,0.217437613,0.800839046,0.509138329,191874,534127.8926,114433,107421,REVIEW,27.9,Iba Fault,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Elevated earthquake activity: M5 count 3 (=3),579,3,2.16,63,42.58,0.469555199,0.333333333,0.61217792
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,0.007131542,0.727363775,0.147368057,0.293954458,0.64902231,0.471488384,191874,356221.3595,624890,595592,REVIEW,15.7,Unnamed Fault,3,1,1,Flood Level 3 (High): above 1.5 m or high-velocity flow; avoid or elevate site significantly.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: Flood L3,223,2,2.1,24,33.62,0.56005353,0.666666667,0.442645255
Region III (Central Luzon),Bataan,Balanga City,2024,0.019518702,0.23452795,0.192584109,0.14887692,0.740863192,0.444870056,191874,385354.5876,214428,203892,PASS,61.8,Iba Fault,2,2,1,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 2 (Medium): 0.5 to 1.5 m or depth x velocity 0.5 to 1.5 m2/s.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,374,1,2.2,40,66.84,0.097338297,0.666666667,0.627731348
NCR,NCR,Malabon City,2024,0.441967547,0.085396357,0.210239906,0.245867937,0.639507307,0.442687622,503483,396730.4231,91533,85364,REVIEW,11,Valley Fault System,2,3,1,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 3 (High): >1.5 m or depth x velocity >1.5 m2/s; elevate or avoid exposed coast.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: StormSurge L3,75,0,1.93,10,30,0.553892017,0.833333333,0.378443193
Region IV-A (CALABARZON),Quezon,Lucena City,2024,0.039861477,0.061337111,0.155825454,0.085674681,0.713159609,0.399417145,192048,361670.5589,69567,66242,REVIEW,9.7,Unnamed Fault,3,1,1,Flood Level 3 (High): above 1.5 m or high-velocity flow; avoid or elevate site significantly.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: Flood L3,223,0,2.21,24,17.75,0.67559723,0.666666667,0.396427775
Region III (Central Luzon),Zambales,Olongapo City,2024,0.0410668,0.046022336,0.235667322,0.107585486,0.565001559,0.336293523,191874,413113.6029,56069,54070,REVIEW,34.8,Iba Fault,2,3,1,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 3 (High): >1.5 m or depth x velocity >1.5 m2/s; elevate or avoid exposed coast.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: StormSurge L3,882,1,2.17,95,35.68,0.437513609,0.833333333,0.424994556
